date,avg_stress,max_stress,stress_offset
2025-12-13,43,99,1
2025-12-14,40,91,1
2025-12-15,24,94,1
2025-12-16,25,93,1
2025-12-17,26,86,1
2025-12-18,29,96,1
2025-12-19,38,99,1
2025-12-20,29,95,1
2025-12-21,21,77,1
2025-12-22,27,99,1
2025-12-23,26,99,1
2025-12-24,41,97,1
2025-12-25,37,98,1
2025-12-26,20,76,1
2025-12-27,36,97,1
2025-12-28,31,93,1
2025-12-29,29,91,1
2025-12-30,25,85,1
2025-12-31,38,97,1
2026-01-01,46,93,1
2026-01-02,23,90,1
2026-01-03,24,97,1
2026-01-04,33,92,1
2026-01-05,22,83,1
2026-01-06,28,90,1
2026-01-07,22,92,1
2026-01-08,21,99,1
2026-01-09,27,94,1
2026-01-10,29,96,1
2026-01-11,21,99,1
2026-01-12,23,91,1
2026-01-13,26,83,1
2026-01-14,26,96,1
2026-01-15,26,97,1
2026-01-16,31,96,1
2026-01-17,26,87,1
2026-01-18,31,96,1
2026-01-19,19,87,1
2026-01-20,34,98,1
2026-01-21,28,92,1
2026-01-22,34,99,1
2026-01-23,20,85,1
2026-01-24,27,93,1
2026-01-25,23,96,1
2026-01-26,22,88,1
2026-01-27,21,92,1
2026-01-28,23,81,1
2026-01-29,31,99,1
2026-01-30,23,93,1
2026-01-31,25,100,1
2026-02-01,31,98,1
2026-02-02,23,53,1
2026-02-03,16,59,1
2026-02-04,15,69,1
2026-02-05,22,90,1
2026-02-06,25,90,1
2026-02-07,25,95,1
2026-02-08,33,99,1
2026-02-09,27,98,1
2026-02-10,18,78,1
2026-02-11,16,66,1
2026-02-12,22,90,1
2026-02-13,17,66,1
2026-02-14,26,94,1
2026-02-15,9,39,1
2026-02-16,12,78,1
2026-02-17,17,89,1
2026-02-18,19,75,1
2026-02-19,30,98,1
2026-02-20,16,84,1
2026-02-21,32,93,1
2026-02-22,39,97,1
2026-02-23,23,78,1
2026-02-24,24,84,1
2026-02-25,34,98,1
2026-02-26,28,82,1
2026-02-27,16,81,1
2026-02-28,27,95,1
2026-03-01,15,54,1
2026-03-02,19,57,1
2026-03-03,13,66,1
2026-03-04,21,86,1
2026-03-05,23,84,1
2026-03-06,22,90,1
2026-03-07,38,93,1
2026-03-08,49,99,1
2026-03-09,14,64,1
2026-03-10,27,88,1
2026-03-11,20,84,1
2026-03-12,30,93,1
2026-03-13,16,85,1
2026-03-14,54,97,1
2026-03-15,73,100,1
2026-03-16,26,83,1
2026-03-17,20,78,1
2026-03-18,30,93,1
2026-03-19,18,93,1
2026-03-20,37,99,1
2026-03-21,31,87,1
2026-03-22,32,98,1
2026-03-23,14,81,1
